experiment_id,geometry,mode,k_min,k_max,n_cells,CP,MPIW,CP_Ankara,CP_Antalya,CP_Konya,CP_Rize,CP_Van,worst_step_dev,CP_AprMay,max_city_deviation,reliability
abl_rize_plus_ankara_s42_b1,temporal,city_horizon,0.9800465703010559,1.6383756399154663,48,0.8736060663990314,300.7590637207031,0.8294471052852701,,,0.9187610087210552,,0.10188583078491331,,0.12055289471472985,0.07639393360096858
abl_rize_plus_ankara_s42_b1,temporal,per_season,1.3096386194229126,1.5060076713562012,3,0.9078888676479959,325.99359130859375,0.922926644819763,,,0.8925119216393865,,0.09216560509554139,,0.057488078360613426,0.04211113235200403
abl_rize_plus_ankara_s42_b1,temporal,city_season,1.1349257230758667,1.6352158784866333,6,0.9038106161983049,323.77838134765625,0.8917738005209647,,,0.9161189156678267,,0.0959872611464968,,0.05822619947903529,0.046189383801695016
abl_rize_plus_ankara_s42_b1,temporal,season_horizon,1.1255558729171753,1.774930477142334,72,0.9089827736358036,326.0970153808594,0.9240399966389379,,,0.8935859432057396,,0.07025477707006367,,0.05641405679426037,0.04101722636419636
abl_rize_plus_ankara_s42_b1,temporal,city_season_horizon,1.0159608125686646,2.045940399169922,144,0.9034282801248964,323.6277160644531,0.8904503823208134,,,0.9166988873136572,,0.08121019108280247,,0.05954961767918654,0.04657171987510356
abl_rize_plus_ankara_s42_b1,season_balanced,none,1.0,1.0,0,0.8201247239184097,323.267333984375,0.8615239748158269,,,0.7782898296546449,,0.17615864527629232,0.7678380170347325,0.17171017034535507,0.12987527608159022
abl_rize_plus_ankara_s42_b1,season_balanced,global,1.4314743280410767,1.4314743280410767,1,0.9529315688858367,462.74884033203125,0.9699414708000221,,,0.9357426721644868,,0.03931195724782899,0.9223746621104707,0.019941470800022176,0.0029315688858367883
abl_rize_plus_ankara_s42_b1,season_balanced,per_horizon,1.1639032363891602,1.6007505655288696,24,0.9533398912377735,461.34661865234375,0.969572201399531,,,0.9369367688490028,,0.010561497326203262,0.9239047279032998,0.019572201399531086,0.0033398912377735623
abl_rize_plus_ankara_s42_b1,season_balanced,per_city,1.339461088180542,1.5344845056533813,2,0.9538224540173351,461.30462646484375,0.9548014253798859,,,0.952833180961621,,0.04042529503451353,0.9224256643035651,0.004801425379885926,0.003822454017335164
abl_rize_plus_ankara_s42_b1,season_balanced,city_horizon,1.1224671602249146,1.805611491203308,48,0.9534326917723046,459.3118591308594,0.9538597884086335,,,0.953001100807881,,0.007664884135472394,0.9229866884276023,0.0038597884086335466,0.0034326917723046524
abl_rize_plus_ankara_s42_b1,season_balanced,per_season,1.0644986629486084,1.5207935571670532,4,0.9479203400211585,409.4150085449219,0.9744280940159894,,,0.9211336455398623,,0.034670231729055256,0.9350742081909522,0.028866354460137633,0.0020796599788414083
abl_rize_plus_ankara_s42_b1,season_balanced,city_season,0.6798191666603088,1.6150027513504028,8,0.9434659143636668,390.0937194824219,0.939605989549676,,,0.9473664570778215,,0.04469696969696968,0.9322690875707655,0.010394010450323954,0.006534085636333176
abl_rize_plus_ankara_s42_b1,season_balanced,season_horizon,0.8964046835899353,1.7542251348495483,96,0.9495443493754524,410.7637023925781,0.9746127287162349,,,0.9242121760546299,,0.010606060606060508,0.9354312235426123,0.025787823945370048,0.00045565062454755445
abl_rize_plus_ankara_s42_b1,season_balanced,city_season_horizon,0.570868968963623,1.918946623802185,192,0.9446166409918522,390.5209045410156,0.9392367201491848,,,0.9500531746179823,,0.01568692941438432,0.9316060590605396,0.010763279850815155,0.005383359008147792
abl_rize_plus_ankara_s42_b1,production_like,none,1.0,1.0,0,0.8128591013416719,321.6875915527344,0.8510122083140164,,,0.7749508659869795,,0.18623511904761902,0.8075901694751582,0.17504913401302047,0.13714089865832801
