city,ym_label,n,mean,std,min,q25,median,q75,max
Konya,Aug 25,31,7.147759856630824,0.4134234391000892,6.194444444444445,6.794444444444444,7.155555555555556,7.431944444444444,7.791666666666666
Konya,Sep 25,30,5.810462962962963,0.9244484748306511,2.2888888888888888,5.595138888888889,5.991666666666667,6.415972222222222,6.863888888888889
Konya,Oct 25,31,4.268817204301075,0.8997232398189327,2.2194444444444446,3.623611111111111,4.330555555555556,4.848611111111111,5.555555555555555
Konya,Nov 25,30,2.873518518518518,0.6621842980303654,0.6611111111111111,2.4493055555555556,2.8472222222222223,3.4,3.7888888888888888
Konya,Dec 25,31,2.0635304659498206,0.7075535802303976,0.6972222222222222,1.4861111111111112,1.9027777777777777,2.7666666666666666,3.077777777777778
Konya,Jan 26,31,2.18915770609319,0.6479186186857616,1.0555555555555556,1.5875,2.2861111111111114,2.7555555555555555,2.9555555555555557
Konya,Feb 26,28,3.0087301587301587,1.034184711186948,0.8722222222222221,2.3187499999999996,3.0902777777777777,3.7444444444444445,4.691666666666667
Konya,Mar 26,31,4.235394265232975,1.5775651864701896,1.3055555555555556,2.875,4.822222222222222,5.772222222222222,6.258333333333333
Konya,Apr 26,30,5.405833333333334,1.466866813741112,1.7527777777777778,4.451388888888888,5.5152777777777775,6.420833333333333,7.536111111111111
Konya,May 26,30,6.05074074074074,1.7409366550984609,1.9166666666666667,4.841666666666667,6.498611111111111,7.329166666666667,8.730555555555554
Rize,Jun 25,30,6.366759259259259,1.7236726810367295,1.8055555555555556,5.329861111111111,6.793055555555556,7.877083333333332,8.313888888888888
Rize,Jul 25,31,5.808512544802868,1.5653824746417633,2.305555555555556,4.658333333333333,6.125,7.152777777777778,7.675
Rize,Aug 25,31,4.8852150537634405,1.6609584946453522,2.2444444444444445,3.322222222222222,5.491666666666667,6.445833333333333,7.0
Rize,Sep 25,30,3.8404629629629627,1.361738787819568,0.95,2.851388888888889,4.405555555555555,4.855555555555556,5.436111111111111
Rize,Oct 25,31,2.8096774193548386,1.136922618572287,0.6972222222222222,1.8263888888888888,2.9833333333333334,3.6708333333333334,4.713888888888889
Rize,Nov 25,30,2.243796296296296,0.7255316466951528,0.7083333333333333,2.0527777777777776,2.4819444444444443,2.6625,3.3666666666666667
Rize,Dec 25,31,1.3986559139784946,0.6244569125912489,0.34444444444444444,0.8375,1.411111111111111,1.8708333333333331,2.3944444444444444
Rize,Jan 26,31,1.4735663082437276,0.7417644099026464,0.37222222222222223,0.8319444444444444,1.45,2.1819444444444445,2.9388888888888887
Rize,Feb 26,28,1.8771825396825397,1.0647005728149266,0.6361111111111111,1.0868055555555554,1.5013888888888887,2.6229166666666663,4.0
Rize,Mar 26,31,3.380376344086021,1.2560323446326167,1.0722222222222222,2.3569444444444443,3.2805555555555554,4.655555555555555,5.51111111111111
Rize,Apr 26,30,4.494907407407408,1.7884332674776549,1.277777777777778,3.0368055555555555,4.379166666666666,6.160416666666666,7.169444444444444
Rize,May 26,30,5.108796296296296,1.9398381514216072,1.5305555555555554,3.761111111111111,5.190277777777778,6.782638888888888,7.961111111111111
Van,Jun 25,30,8.155925925925926,0.9429926675190795,4.75,7.94375,8.413888888888888,8.79375,8.966666666666667
Van,Jul 25,31,7.307795698924731,0.7708475705574885,5.830555555555556,6.894444444444444,7.477777777777777,7.9208333333333325,8.430555555555555
Van,Aug 25,31,7.100537634408602,0.5874591393525745,4.969444444444444,6.941666666666666,7.227777777777777,7.563888888888888,7.75
Van,Sep 25,30,5.851851851851851,0.7251313108040014,3.5638888888888887,5.544444444444444,6.061111111111111,6.354166666666667,6.675
Van,Oct 25,31,4.315860215053763,1.0351917760213198,1.2083333333333333,3.676388888888889,4.766666666666666,5.101388888888888,5.511111111111111
Van,Nov 25,30,3.1800925925925925,0.6911485323814048,1.3833333333333333,2.823611111111111,3.301388888888889,3.509027777777778,4.361111111111112
Van,Dec 25,31,1.9249103942652328,0.6392344008853005,0.5833333333333333,1.5847222222222221,1.925,2.4541666666666666,3.022222222222222
Van,Jan 26,31,2.3058243727598566,0.5760664447660048,0.9583333333333334,2.0180555555555557,2.2,2.7416666666666663,3.422222222222222
Van,Feb 26,28,2.998015873015873,1.1462723269654511,1.025,1.9972222222222222,3.151388888888889,3.918055555555555,4.736111111111112
Van,Mar 26,31,4.458960573476703,1.0303463174023968,2.3694444444444445,3.7,4.65,5.3902777777777775,5.794444444444444
Van,Apr 26,30,4.866388888888889,1.1364595035803036,2.4166666666666665,4.289583333333333,4.620833333333334,5.327083333333333,7.002777777777777
Van,May 26,30,6.31824074074074,1.3775498211133765,2.4666666666666663,5.611111111111111,6.665277777777778,7.104861111111111,8.588888888888889
