city,season,HR,n,mean,median,q25,q75
Antalya,Kış,22,632,0.0,0.0,0.0,0.0
Antalya,Kış,23,632,0.0,0.0,0.0,0.0
Antalya,İlkbahar,0,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,1,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,2,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,3,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,4,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,5,582,19.577216494845363,7.225,0.0,34.7175
Antalya,İlkbahar,6,582,113.1029209621993,103.1,31.855,183.29500000000002
Antalya,İlkbahar,7,582,275.66646048109965,272.635,166.475,387.88750000000005
Antalya,İlkbahar,8,582,451.51307560137457,458.935,345.01750000000004,581.0825
Antalya,İlkbahar,9,582,604.9874398625429,621.4649999999999,507.2375,743.9
Antalya,İlkbahar,10,582,704.9265463917526,733.1700000000001,612.3149999999999,843.3
Antalya,İlkbahar,11,582,748.6260137457045,779.25,665.0024999999999,901.3050000000001
Antalya,İlkbahar,12,582,737.3692439862543,773.1700000000001,643.19,880.0925
Antalya,İlkbahar,13,582,669.7916323024054,708.85,574.575,799.94
Antalya,İlkbahar,14,582,557.0126116838488,579.88,454.855,683.39
Antalya,İlkbahar,15,582,413.14958762886596,423.49,320.5125,518.725
Antalya,İlkbahar,16,582,252.09024054982817,244.985,180.375,330.0475
Antalya,İlkbahar,17,582,98.84517182130584,88.61500000000001,47.39,141.1775
Antalya,İlkbahar,18,582,12.071374570446736,5.62,0.0,21.0675
Antalya,İlkbahar,19,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,20,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,21,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,22,582,0.0,0.0,0.0,0.0
Antalya,İlkbahar,23,582,0.0,0.0,0.0,0.0
Antalya,Yaz,0,615,0.0,0.0,0.0,0.0
Antalya,Yaz,1,615,0.0,0.0,0.0,0.0
Antalya,Yaz,2,615,0.0,0.0,0.0,0.0
Antalya,Yaz,3,615,0.0,0.0,0.0,0.0
Antalya,Yaz,4,615,0.0,0.0,0.0,0.0
Antalya,Yaz,5,615,47.146097560975605,46.3,20.4,74.225
Antalya,Yaz,6,615,203.89679674796747,210.57,162.235,244.785
Antalya,Yaz,7,615,402.17676422764225,410.6,359.36,443.725
Antalya,Yaz,8,615,591.7229593495935,600.83,547.15,638.81
Antalya,Yaz,9,615,759.4751056910569,770.8,720.675,806.09
