city,resolution,lag,acf,pacf
Ankara,günlük,21,0.15834197809449305,-0.015574994713776387
Ankara,günlük,22,0.17561433374341823,0.037475527230829295
Ankara,günlük,23,0.19138627946458758,0.035659742158960464
Ankara,günlük,24,0.21458006267016666,0.05769433708498314
Ankara,günlük,25,0.19419197440740604,5.747352790443508e-05
Ankara,günlük,26,0.17101659753008236,-0.01081035185129785
Ankara,günlük,27,0.16028297698988989,0.0009059810311668414
Ankara,günlük,28,0.16630592551907342,0.01855473795565067
Ankara,günlük,29,0.18146676476267332,0.032569503420861866
Ankara,günlük,30,0.19652287772625118,0.03828197711596029
Antalya,saatlik,1,0.9584650255666893,0.9584650255666893
Antalya,saatlik,2,0.9068212887435521,-0.14547847253318458
Antalya,saatlik,3,0.8516568992477624,-0.05660561544582186
Antalya,saatlik,4,0.8043333913445819,0.07726805559556295
Antalya,saatlik,5,0.7659124297752753,0.06399602296605945
Antalya,saatlik,6,0.7386302635884631,0.08764555981402711
Antalya,saatlik,7,0.7180854344672033,0.04181001852966309
Antalya,saatlik,8,0.6952375328969863,-0.05222439283416118
Antalya,saatlik,9,0.6541080188223475,-0.2197145454123479
Antalya,saatlik,10,0.585211659372309,-0.3184919842436313
Antalya,saatlik,11,0.5045182901682619,-0.13122641528537482
Antalya,saatlik,12,0.3412689484635907,-1.3099561984849115
Antalya,saatlik,13,0.4093332380006736,
Antalya,saatlik,14,0.43457809822485216,
Antalya,saatlik,15,0.48561380838844836,
Antalya,saatlik,16,0.4978950685262267,
Antalya,saatlik,17,0.48950114446515686,
Antalya,saatlik,18,0.4758713319629219,
Antalya,saatlik,19,0.46526845965563685,
Antalya,saatlik,20,0.4645513361649184,
Antalya,saatlik,21,0.4727749318754785,
Antalya,saatlik,22,0.4891921590877595,
Antalya,saatlik,23,0.5112323941712013,
Antalya,saatlik,24,0.5276573486158137,
Antalya,saatlik,25,0.5057807632790532,
Antalya,saatlik,26,0.47810612183713497,
Antalya,saatlik,27,0.4546694979817023,
Antalya,saatlik,28,0.43958978891362704,
Antalya,saatlik,29,0.43451679682959055,
Antalya,saatlik,30,0.44236343639896775,
Antalya,saatlik,31,0.45518602333292835,
Antalya,saatlik,32,0.46503978891179903,
Antalya,saatlik,33,0.4514141806707875,
Antalya,saatlik,34,0.4044944953253157,
Antalya,saatlik,35,0.3604243565161913,
Antalya,saatlik,36,0.22874793896307224,
Antalya,saatlik,37,0.31449880229641486,
Antalya,saatlik,38,0.3414643929998753,
Antalya,saatlik,39,0.39179980887741445,
Antalya,saatlik,40,0.39430642565472107,
Antalya,saatlik,41,0.37542301988312926,
Antalya,saatlik,42,0.35325125072210206,
Antalya,saatlik,43,0.3340814102631881,
Antalya,saatlik,44,0.32742210623484347,
Antalya,saatlik,45,0.3323734568587165,
Antalya,saatlik,46,0.34835385267195856,
Antalya,saatlik,47,0.37118153473115795,
Antalya,saatlik,48,0.3920885892661439,
Antalya,saatlik,49,0.3718560163579848,
Antalya,saatlik,50,0.3500280339847778,
Antalya,saatlik,51,0.33530975137402214,
Antalya,saatlik,52,0.330600681437815,
Antalya,saatlik,53,0.33568784294951765,
Antalya,saatlik,54,0.3528287039369651,
Antalya,saatlik,55,0.37610814809772725,
Antalya,saatlik,56,0.40075186360076553,
Antalya,saatlik,57,0.40491240228515357,
Antalya,saatlik,58,0.35854408748129213,
Antalya,saatlik,59,0.32064210412289174,
Antalya,saatlik,60,0.2194012967974383,
Antalya,saatlik,61,0.29719904167956734,
Antalya,saatlik,62,0.3155010421577313,
Antalya,saatlik,63,0.3652745537529045,
Antalya,saatlik,64,0.36694399492260066,
Antalya,saatlik,65,0.34435114800850797,
Antalya,saatlik,66,0.3213505976714341,
Antalya,saatlik,67,0.3043535879695747,
Antalya,saatlik,68,0.2980689980752268,
Antalya,saatlik,69,0.3030636102192632,
Antalya,saatlik,70,0.31863563653644367,
Antalya,saatlik,71,0.3409791401590093,
Antalya,saatlik,72,0.36115019675812526,
Antalya,günlük,1,0.5289316339856474,0.5289316339856474
Antalya,günlük,2,0.366507334603444,0.12043166962187735
Antalya,günlük,3,0.33181294053250054,0.1375092807496258
Antalya,günlük,4,0.29702510907656027,0.07858671674055938
Antalya,günlük,5,0.2836464935143397,0.08277585573133488
